name,year,win_mean,win_std,type
Spain LIGA BBVA,2011,0.5078947368421053,0.5005967831360988,home
Spain LIGA BBVA,2012,0.4948717948717949,0.50061592806127,home
Spain LIGA BBVA,2013,0.4763157894736842,0.5000971992733122,home
Spain LIGA BBVA,2014,0.45528455284552843,0.4986726814917495,home
Spain LIGA BBVA,2015,0.47435897435897434,0.4999835209201873,home
Spain LIGA BBVA,2016,0.4928909952606635,0.501138401626931,home
Switzerland Super League,2008,0.45977011494252873,0.5012681058876768,home
Switzerland Super League,2009,0.5081967213114754,0.5013043695981535,home
Switzerland Super League,2010,0.45,0.49888143036622007,home
Switzerland Super League,2011,0.46111111111111114,0.49987583809095887,home
Switzerland Super League,2012,0.4382716049382716,0.4977135051673599,home
Switzerland Super League,2013,0.46368715083798884,0.5000784572177625,home
Switzerland Super League,2014,0.4530386740331492,0.499170582785316,home
